produto,quantidade,preco_unitario
Monitor,10,799.9
Teclado,25,120.5
Mouse,40,50
Webcam,15,250
Notebook,8,3499.9
Headset,20,199.9
Caixa de Som,12,180
HD Externo 1TB,7,399.9
SSD 512GB,14,320
SSD 1TB,9,520
Pendrive 64GB,35,45.9
Pendrive 128GB,22,69.9
Impressora,6,899.9
Scanner,4,650
Tablet,11,1200
Mouse Gamer,18,150
Teclado Mecânico,16,350
"Monitor 27""",5,1299.9
Monitor Ultrawide,3,1899.9
Webcam HD,13,220
Microfone USB,10,300
Placa de Vídeo RTX 4060,2,2599.9
Placa de Vídeo RTX 4070,1,3999.9
Processador Ryzen 5,6,999.9
Processador Ryzen 7,4,1599.9
Memória RAM 8GB,20,180
Memória RAM 16GB,15,320
Placa Mãe B550,7,850
Fonte 600W,9,420
Fonte 750W,5,520
Gabinete Gamer,8,350
Cooler CPU,12,120
Water Cooler,6,450
Switch 8 Portas,10,110
Roteador WiFi 6,7,380
Cabo HDMI,30,35
Cabo DisplayPort,18,60
Adaptador USB-C,14,45
Hub USB,11,80
Base Notebook,9,90
Suporte Monitor,6,140
Mousepad Gamer,25,70
Cadeira Gamer,4,1200
Mesa Escritório,3,950
Nobreak,5,750
Estabilizador,7,220
Câmera Segurança,8,310
Smartwatch,10,650
Fone Bluetooth,16,220
Carregador Portátil,12,150
Adaptador Bluetooth,20,55
Controle Xbox,6,450
Controle Playstation,5,470
